Zeit,RAUMID,05 EU15 ohne Deutschland,10 EU Erweiterung 2004 ohne Polen,15 Polen,20 EU Erweiterung 2007,25 Ehem_ Jugoslawien und Nachfolge,30 Ehem_ Sowjetunion und Nachfolge,35 Türkei,40 Arabische Staaten,45 Übrige Gebiete,Ausländer,"Einwohner Insgesamt"
201112,01011101,167,30,47,27,58,119,40,81,266,835,2826
201112,01011102,0,0,0,0,0,0,0,0,0,0,0,0
201112,01011103,274,54,63,22,141,226,178,128,383,1469,4791
201112,01011104,265,31,80,61,81,126,238,163,274,1319,3848
201112,01011105,73,9,10,0,3,65,9,27,118,314,957
201112,01011201,91,6,27,74,6,168,27,55,179,633,2131
201112,01011202,48,6,0,6,0,9,0,0,45,114,483
201112,01011203,66,21,16,12,0,110,0,7,34,266,822
201112,01011204,272,39,49,147,48,205,24,71,323,1178,5731
201112,01011301,417,48,50,45,24,98,34,24,341,1081,4855
201112,01011302,1018,84,85,51,70,160,66,42,835,2411,11970
201112,01011303,535,57,78,75,57,142,44,38,677,1703,8118
201112,01011304,200,44,45,24,114,133,135,36,578,1309,8200
201112,01011305,214,31,50,52,45,117,91,30,341,971,6295
201112,01011306,294,67,126,27,63,92,253,69,390,1381,7755
201112,01011401,1238,93,133,78,85,156,36,31,784,2634,13769
201112,01011402,1148,86,102,57,25,123,43,27,712,2323,11798
201112,01022101,127,24,223,64,97,24,106,115,134,914,3108
201112,01022102,339,36,246,120,279,91,405,199,408,2123,5840
201112,01022103,3,0,3,6,0,0,16,12,31,71,207
201112,01022104,666,112,435,227,502,269,1042,338,847,4438,16983
201112,01022105,219,37,138,138,144,90,328,194,244,1532,4873
201112,01022106,417,68,136,53,156,145,246,72,428,1721,10877
201112,01022201,488,80,215,79,229,113,715,170,513,2602,9900
201112,01022202,43,6,9,9,21,21,247,47,49,452,1467
201112,01022203,213,31,158,55,247,107,719,210,262,2002,6476
201112,01022204,256,39,116,49,61,78,185,66,270,1120,5605
201112,01022205,71,12,74,25,122,139,165,81,159,848,3042
201112,01022206,144,12,69,22,31,53,85,44,95,555,3011
201112,01022207,260,52,72,70,34,146,65,104,506,1309,5329
201112,01033101,747,145,758,906,1120,301,2900,697,1055,8629,24135
201112,01033102,357,54,280,374,439,112,1593,284,418,3911,10913
201112,01033201,340,82,155,87,262,211,1923,408,385,3853,12773
201112,01033202,255,12,177,55,208,115,1125,172,320,2439,9505
201112,01033203,458,77,360,202,566,224,1644,463,632,4626,13012
201112,01044101,594,114,546,385,607,176,1335,299,747,4803,18911
201112,01044102,343,74,470,205,325,102,747,125,402,2793,14957
201112,01044103,316,34,248,141,193,131,568,155,407,2193,7578
201112,01044201,835,181,657,867,1119,390,3100,800,1088,9037,21843
201112,01044202,698,109,471,420,420,143,1138,537,1772,5708,15482
201112,01044203,632,108,540,436,569,153,1879,458,777,5552,15211
201112,02010101,323,37,109,105,114,157,546,287,546,2224,6067
201112,02010102,499,52,148,85,290,311,1619,472,370,3846,12689
201112,02010103,397,39,174,134,194,69,3317,278,365,4967,15232
201112,02010104,235,6,34,24,52,6,931,140,171,1599,4966
201112,02020201,18,,9,0,0,0,13,0,28,68,267
201112,02020202,374,23,96,30,112,30,260,80,254,1259,5561
201112,02020203,717,33,128,46,199,36,415,98,440,2112,10047
201112,02020204,877,42,149,66,205,45,628,112,540,2664,11888
201112,02020205,1103,54,129,48,202,43,922,143,615,3259,14613
201112,02020206,1369,70,207,199,329,90,1377,372,775,4788,18541
201112,02030301,684,27,58,42,89,28,2190,118,343,3579,9182
201112,02030302,964,60,90,122,161,52,2039,175,603,4266,13156
201112,02030401,1294,93,162,123,179,46,1441,181,708,4227,14875
201112,02030402,1058,43,174,130,142,63,1440,37,526,3613,11224
201112,02040501,56,3,21,25,38,73,15,25,279,535,5342
201112,02040502,183,22,51,24,42,51,21,18,362,774,6787
201112,02040503,439,48,78,19,52,42,39,13,376,1106,10131
201112,02040701,353,36,155,72,188,282,121,76,943,2226,12139
201112,02040702,464,48,67,30,30,45,43,3,352,1082,10256
201112,02040703,47,3,22,3,7,10,22,9,62,185,546
201112,02050601,516,34,44,32,54,57,36,24,342,1139,8493
201112,02050602,1108,109,173,73,116,118,55,41,675,2468,18670
201112,02050801,1168,87,118,44,254,100,46,40,860,2717,18047
201112,02050802,1418,98,180,86,54,96,85,46,633,2696,18817
201112,02050803,359,53,61,46,42,21,57,23,195,857,6316
201112,02050804,40,12,25,3,3,20,9,7,48,167,3017
201112,03010101,15,3,21,6,6,21,6,3,25,106,2886
201112,03010102,39,15,30,15,6,45,18,9,96,273,9959
201112,03010104,0,0,0,0,0,0,0,0,0,0,0,0
201112,03020203,9,,3,0,3,7,0,,0,22,1919
201112,03020209,137,47,67,30,31,65,27,12,236,652,13332
201112,03020210,46,27,58,13,6,46,26,19,69,310,10067
201112,03020307,82,31,87,7,18,98,34,15,84,456,16782
201112,03030405,27,27,30,3,51,42,10,6,49,245,10662
201112,03030406,30,12,24,6,16,27,0,0,45,160,8031
201112,03030711,19,3,13,6,6,6,9,3,15,80,6502
201112,03030715,24,19,27,15,10,6,13,3,27,144,6497
201112,03030716,0,0,0,0,0,6,0,0,9,15,1127
201112,03040508,33,3,18,6,21,21,63,9,15,189,4495
201112,03040512,46,18,52,10,31,37,56,22,55,327,9353
201112,03040513,64,9,13,3,3,15,10,0,24,141,3281
201112,03040614,355,69,152,69,42,141,40,62,325,1255,32447
201112,03040818,484,88,208,57,58,140,63,37,400,1535,31833
201112,03050919,24,6,27,3,6,15,0,3,21,105,4873
201112,03050920,64,37,30,72,6,25,3,0,48,285,6389
201112,03050923,130,30,100,21,21,39,34,9,151,535,8103
201112,03050924,116,12,67,56,24,18,21,18,102,434,5346
201112,03050925,108,12,43,15,15,34,12,21,142,402,8234
201112,03051017,27,9,118,12,6,27,6,3,52,260,4073
201112,03051021,31,9,24,9,50,55,13,15,82,288,6412
201112,03051022,9,24,18,0,6,12,0,0,22,91,4518
201112,03061126,755,77,108,40,49,127,19,46,442,1663,14040
201112,03061131,777,48,70,16,15,75,6,33,474,1514,9581
201112,03061227,682,64,82,42,25,60,34,36,438,1463,13851
201112,03061228,416,40,61,54,27,48,40,21,339,1046,11960
201112,03061332,1594,61,142,51,77,125,42,37,929,3058,21205
201112,03061429,64,24,35,30,12,39,20,18,160,402,10090
201112,03061430,40,10,15,3,12,12,12,10,70,184,2893
201112,03061434,219,35,37,33,15,15,12,9,185,560,5747
201112,03061435,119,24,31,18,36,21,13,7,151,420,3831
201112,03061441,52,0,0,6,3,15,7,3,35,121,1731
201112,03071536,927,53,82,37,45,80,22,33,629,1908,10165
201112,03071537,1154,68,92,28,15,132,15,51,701,2256,14072
201112,03071633,35,6,9,3,12,25,21,9,87,207,2636
201112,03071638,1181,64,106,73,51,152,51,35,698,2411,16266
201112,03071639,656,47,161,54,40,56,34,24,396,1468,11906
