ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_E;E_EM;E_EW;E_E00_01;E_E01_02;E_E02_03;E_E03_05;E_E05_06;E_E06_07;E_E07_08;E_E08_10;E_E10_12;E_E12_14;E_E14_15;E_E15_18;E_E18_21;E_E21_25;E_E25_27;E_E27_30;E_E30_35;E_E35_40;E_E40_45;E_E45_50;E_E50_55;E_E55_60;E_E60_63;E_E63_65;E_E65_67;E_E67_70;E_E70_75;E_E75_80;E_E80_85;E_E85_90;E_E90_95;E_E95_110;E_U1;E_1U6;E_6U15;E_15U18;E_18U25;E_25U55;E_55U65;E_65U80;E_80U110
201206;01011101;01;01;11;01;1;2826;1447;1379;25;18;15;18;7;12;0;31;6;27;10;26;89;192;119;168;254;142;195;172;204;205;162;75;66;122;217;103;98;25;17;6;25;58;86;26;281;1254;442;508;146
201206;01011102;01;01;11;02;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201206;01011103;01;01;11;03;1;4791;2620;2171;43;39;34;84;39;42;39;71;101;61;38;83;155;314;177;262;418;321;305;418;407;340;186;125;113;138;195;123;55;47;9;9;43;196;352;83;469;2308;651;569;120
201206;01011104;01;01;11;04;1;3848;2052;1796;41;24;50;87;37;40;44;69;76;89;22;116;175;397;235;312;390;287;263;317;240;154;71;51;49;61;50;55;37;6;3;0;41;198;340;116;572;2044;276;215;46
201206;01011105;01;01;11;05;1;957;527;430;7;9;3;19;3;3;6;4;9;6;14;21;14;30;30;69;87;41;134;95;100;85;42;18;6;15;40;18;17;12;0;0;7;34;42;21;44;556;145;79;29
201206;01011201;01;01;12;01;1;2131;1112;1019;15;29;18;34;18;9;3;30;49;22;24;33;50;133;59;111;142;149;160;201;162;193;84;45;39;80;106;62;52;19;0;0;15;99;137;33;183;984;322;287;71
201206;01011202;01;01;12;02;1;483;260;223;4;9;3;9;3;3;4;6;6;0;7;15;10;22;12;19;36;48;31;64;53;39;13;3;15;9;25;12;3;0;0;0;4;24;26;15;32;263;55;61;3
201206;01011203;01;01;12;03;1;822;422;400;3;3;3;9;4;3;6;12;3;9;3;13;21;33;13;54;79;55;99;63;73;61;37;18;13;37;42;29;12;12;0;0;3;19;36;13;54;436;116;121;24
201206;01011204;01;01;12;04;1;5731;2862;2869;34;32;31;60;34;40;45;46;50;48;25;94;101;321;167;255;424;385;454;476;445;391;249;159;153;239;425;281;163;77;24;3;34;157;254;94;422;2606;799;1098;267
201206;01011301;01;01;13;01;1;4855;2524;2331;66;66;49;86;39;31;33;41;46;29;16;44;59;232;218;393;706;570;482;443;280;288;147;57;64;107;132;67;31;21;12;0;66;240;196;44;291;3092;492;370;64
