lor_nr,lor_name,bezirk,prognoseraum,bezirksregion,wert,rang,schicht,dezwert,kind_wand,arb_los,alg_eins,hartz4,jug_hartz4,grundsich,alt_arm,,fruehtod,raucher_krebs,,,
01011101,Stülerstr.,Mitte,Zentrum,Tiergarten Süd,"0,7479",108,2,"25,9","0,00","7,32","1,83","5,49","2,36","0,49","4,74",,"0,038","0,026",,,
01011102,Großer Tiergarten,Mitte,Zentrum,Tiergarten Süd,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,
01011103,Lützowstr.,Mitte,Zentrum,Tiergarten Süd,"-0,6011",303,6,"72,7","-2,17","13,23","1,37","11,87","7,47","0,87","10,98",,"0,137","0,037",,,
01011104,Körnerstr.,Mitte,Zentrum,Tiergarten Süd,"-1,2202",365,7,"87,5","1,15","14,67","1,23","13,43","6,39","0,79","21,58",,"0,088","0,035",,,
01011105,Nördl. Landwehrkanal,Mitte,Zentrum,Regierungsviertel,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,
01011201,Wilhelmstr.,Mitte,Zentrum,Regierungsviertel,"0,8484",98,2,"23,5","-2,02","6,37","2,12","4,25","3,10","0,31","2,24",,"0,046","0,009",,,
01011202,Unter den Linden Nord,Mitte,Zentrum,Regierungsviertel,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,
01011203,Unter den Linden Süd,Mitte,Zentrum,Regierungsviertel,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,
01011204,Leipziger Str.,Mitte,Zentrum,Regierungsviertel,"0,7519",107,2,"25,7","-1,71","7,05","2,29","4,76","2,92","0,41","2,91",,"0,059","0,026",,,
01011301,Charitéviertel,Mitte,Zentrum,Alexanderplatz,"0,6838",117,2,"28,1","-17,19","5,43","2,03","3,40","3,19","0,44","1,81",,"0,040","0,038",,,
01011302,Oranienburger Str.,Mitte,Zentrum,Alexanderplatz,"0,2320",187,4,"44,8","-6,02","8,00","1,92","6,07","4,22","0,40","3,98",,"0,064","0,047",,,
01011303,Alexanderplatzviertel,Mitte,Zentrum,Alexanderplatz,"0,1738",195,4,"46,8","-5,26","10,19","2,47","7,72","2,98","0,68","2,91",,"0,073","0,029",,,
01011304,Karl-Marx-Allee,Mitte,Zentrum,Alexanderplatz,"0,2089",189,4,"45,3","4,63","10,17","2,28","7,89","3,99","0,46","1,27",,"0,070","0,042",,,
01011305,Heine-Viertel West,Mitte,Zentrum,Alexanderplatz,"0,4737",140,3,"33,6","3,81","9,02","2,40","6,62","3,46","0,43","1,29",,"0,049","0,028",,,
01011306,Heine-Viertel Ost,Mitte,Zentrum,Alexanderplatz,"0,2847",177,3,"42,4","-6,21","9,45","2,52","6,94","4,48","0,36","1,26",,"0,075","0,030",,,
01011401,Invalidenstr.,Mitte,Zentrum,Brunnenstr. Süd,"0,1781",194,4,"46,5","1,75","8,06","2,13","5,93","4,36","0,23","4,29",,"0,095","0,047",,,
01011402,Arkonaplatz,Mitte,Zentrum,Brunnenstr. Süd,"0,4298",150,3,"36,0","-3,09","6,83","1,96","4,87","3,38","0,29","5,25",,"0,069","0,036",,,
01022101,Huttenkiez,Mitte,Moabit,Moabit West,"-1,6625",388,7,"93,0","-11,11","20,08","2,16","17,92","11,27","0,56","10,69",,"0,157","0,040",,,
01022102,Beusselkiez,Mitte,Moabit,Moabit West,"-1,8541",396,7,"95,0","-9,89","20,67","2,08","18,59","10,85","0,81","10,86",,"0,100","0,030",,,
01022103,Westhafen,Mitte,Moabit,Moabit West,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,
01022104,Emdener Str.,Mitte,Moabit,Moabit West,"-1,0350",353,6,"84,7","-3,91","15,91","2,30","13,60","7,92","0,86","10,70",,"0,082","0,042",,, 
01022105,Zwinglistr.,Mitte,Moabit,Moabit West,"-1,6187",385,7,"92,3","-1,27","18,40","1,48","16,92","10,98","0,77","13,33",,"0,076","0,049",,,
01022106,Elberfelder Str.,Mitte,Moabit,Moabit West,"0,1304",200,4,"48,0","-1,58","10,46","2,20","8,26","5,76","0,49","5,34",,"0,073","0,036",,,
01022201,Stephankiez,Mitte,Moabit,Moabit Ost,"-1,1257",359,7,"86,1","-8,29","16,29","2,17","14,12","9,10","0,72","11,44",,"0,078","0,031",,,
01022202,Heidestr.,Mitte,Moabit,Moabit Ost,"-2,1006",409,7,"98,1","-0,86","19,57","2,04","17,53","12,62","2,32","13,33",,"0,137","0,022",,,
01022203,Lübecker Str.,Mitte,Moabit,Moabit Ost,"-1,5865",383,7,"91,8","-10,49","18,58","2,28","16,29","10,39","0,97","14,25",,"0,076","0,035",,,
01022204,Thomasiusstr.,Mitte,Moabit,Moabit Ost,"-0,1477",244,5,"58,5","1,74","12,01","2,08","9,93","5,96","0,79","8,02",,"0,061","0,044",,,
01022205,Zillesiedlung,Mitte,Moabit,Moabit Ost,"-1,3302",372,7,"89,2","6,78","14,80","2,57","12,23","6,51","2,28","16,28",,"0,079","0,027",,,
01022206,Lüneburger Str.,Mitte,Moabit,Moabit Ost,"-0,2119",255,5,"61,2","-1,41","11,77","2,86","8,91","6,21","0,61","7,67",,"0,082","0,042",,,
01022207,Hansaviertel,Mitte,Moabit,Moabit Ost,"0,5248",133,3,"31,9","-5,53","7,23","1,60","5,63","1,81","0,36","7,91",,"0,053","0,036",,,
01033101,Soldiner Str.,Mitte,Gesundbrunnen,Osloer Str.,"-2,2308",414,7,"99,3","-5,52","22,78","2,28","20,50","13,02","0,81","8,77",,"0,105","0,051",,,
01033102,Gesundbrunnen,Mitte,Gesundbrunnen,Osloer Str.,"-1,8503",395,7,"94,7","-1,32","20,49","2,54","17,95","11,37","0,92","9,86",,"0,087","0,037",,,
01033201,Brunnenstr.,Mitte,Gesundbrunnen,Brunnenstr. Nord,"-2,1284",411,7,"98,6","4,08","21,24","2,32","18,93","10,38","0,94","11,05",,"0,079","0,048",,,
01033202,Humboldthain Süd,Mitte,Gesundbrunnen,Brunnenstr. Nord,"-1,5534",381,7,"91,4","-0,94","19,06","2,37","16,69","10,74","0,77","6,75",,"0,110","0,045",,,
01033203,Humboldthain NW,Mitte,Gesundbrunnen,Brunnenstr. Nord,"-2,2036",413,7,"99,0","-0,75","22,55","2,41","20,14","12,34","1,29","10,17",,"0,110","0,034",,,
01044101,Rehberge,Mitte,Wedding,Parkviertel,"-0,9656",339,6,"81,3","-5,04","16,69","2,41","14,28","10,27","0,68","5,40",,"0,084","0,046",,,
01044102,Schillerpark,Mitte,Wedding,Parkviertel,"-0,6888",310,6,"74,3","-0,95","16,68","2,82","13,87","11,14","0,66","4,17",,"0,090","0,030",,,
01044103,Westl. Müllerstr.,Mitte,Wedding,Parkviertel,"-1,2051",364,7,"87,3","-3,29","16,72","2,33","14,39","10,64","0,75","8,38",,"0,083","0,052",,,
01044201,Reinickendorfer Str.,Mitte,Wedding,Wedding Zentrum,"-2,2766",415,7,"99,5","-0,19","22,54","2,04","20,49","13,00","1,01","11,75",,"0,087","0,050",,,
01044202,Sparrplatz,Mitte,Wedding,Wedding Zentrum,"-1,5524",380,7,"91,1","-4,24","17,11","2,23","14,89","8,81","0,93","12,04",,"0,077","0,043",,,
01044203,Leopoldplatz,Mitte,Wedding,Wedding Zentrum,"-1,9239",401,7,"96,2","-5,87","20,48","2,10","18,38","11,62","1,13","10,76",,"0,087","0,043",,,
02010101,Askanischer Platz,Friedrichshain-Kreuzberg,Kreuzberg,Südliche Friedrichstadt,"-1,8107",392,7,"94,0","-3,69","16,07","2,53","13,54","7,00","1,43","20,44",,"0,101","0,058",,,
02010102,Mehringplatz,Friedrichshain-Kreuzberg,Kreuzberg,Südliche Friedrichstadt,"-1,8641",399,7,"95,7","0,86","17,16","2,11","15,05","7,87","2,51","18,27",,"0,080","0,041",,,
02010103,Moritzplatz,Friedrichshain-Kreuzberg,Kreuzberg,Südliche Friedrichstadt,"-1,9178",400,7,"95,9","-0,87","18,97","2,35","16,62","9,01","1,59","10,91",,"0,092","0,051",,,
02010104,Wassertorplatz,Friedrichshain-Kreuzberg,Kreuzberg,Südliche Friedrichstadt,"-1,9309",402,7,"96,4","1,02","17,55","2,11","15,44","8,83","2,08","23,11",,"0,069","0,029",,,
02020201,Gleisdreieck/Entwickl.-gebiet,Friedrichshain-Kreuzberg,Kreuzberg Süd,Tempelhofer Vorstadt,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,
02020202,Rathaus Yorckstraße,Friedrichshain-Kreuzberg,Kreuzberg Süd,Tempelhofer Vorstadt,"-0,2633",259,5,"62,1","-1,92","10,14","2,07","8,07","5,50","0,68","8,98",,"0,084","0,031",,,
02020203,Viktoriapark,Friedrichshain-Kreuzberg,Kreuzberg Süd,Tempelhofer Vorstadt,"-0,0940",238,4,"57,1","-2,89","9,76","2,16","7,60","6,09","0,86","6,57",,"0,065","0,033",,,
02020204,Urbanstraße,Friedrichshain-Kreuzberg,Kreuzberg Süd,Tempelhofer Vorstadt,"-0,4160",278,5,"66,7","-5,28","10,70","2,56","8,14","4,12","0,86","12,52",,"0,107","0,040",,,
02020205,Chamissokiez,Friedrichshain-Kreuzberg,Kreuzberg Süd,Tempelhofer Vorstadt,"-0,2518",257,5,"61,6","-4,13","10,07","2,45","7,62","3,66","0,79","11,01",,"0,095","0,026",,,
02020206,Graefekiez,Friedrichshain-Kreuzberg,Kreuzberg Süd,Tempelhofer Vorstadt,"-0,8991",334,6,"80,1","-6,26","12,47","1,90","10,57","6,88","0,92","11,36",,"0,090","0,042",,,
02030301,Oranienplatz,Friedrichshain-Kreuzberg,Kreuzberg Ost,nördliche Luisenstadt,"-2,0468",406,7,"97,4","-3,80","17,15","2,03","15,12","9,02","2,37","25,29",,"0,118","0,032",,,
02030302,Lausitzer Platz,Friedrichshain-Kreuzberg,Kreuzberg Ost,nördliche Luisenstadt,"-1,4333",375,7,"89,9","1,07","14,48","2,12","12,36","9,03","1,44","19,17",,"0,085","0,055",,,
02030401,Reichenberger Straße,Friedrichshain-Kreuzberg,Kreuzberg Ost,südliche Luisenstadt,"-1,0228",349,6,"83,7","-5,91","12,64","2,16","10,48","6,84","1,05","14,57",,"0,101","0,053",,,
02030402,Wrangelkiez,Friedrichshain-Kreuzberg,Kreuzberg Ost,südliche Luisenstadt,"-0,9833",342,6,"82,0","-12,52","12,78","2,02","10,76","6,28","0,89","16,38",,"0,069","0,042",,,
02040501,Barnimkiez,Friedrichshain-Kreuzberg,Friedrichshain West,Karl-Marx-Allee-Nord,"-0,0570",229,4,"54,9","0,47","10,49","2,65","7,84","4,83","0,39","0,93",,"0,114","0,033",,,
